Model,Prix,Annee,Kilometrage,Boite_Vitesse,Energie,Controle_Technique,Premiere Main,Portes,Places,Puissance
PORSCHE PANAMERA II SPORT TURISMO phase 2,104990,2022,63341,Automatique,Hybrides,Non requis,Non,5,5,21
AUDI A1 (2E GENERATION) SPORTBACK,20760,2020,63586,Manuelle,Essence,Non requis,Non,5,5,6
NISSAN QASHQAI 3,30410,2023,30648,Manuelle,Hybrides,Non requis,Non,5,5,7
PORSCHE 911 TYPE 992,176370,2020,22955,Automatique,Essence,Non requis,Non,2,4,34
,176370,2020,22955,Automatique,Essence,Non requis,Non,2,4,34
PORSCHE MACAN phase 2,76240,2020,58480,Automatique,Essence,Non requis,Non,5,5,25
CITROEN C3 III,16270,2021,40508,Manuelle,Essence,Non requis,Non,5,5,4
LAND ROVER RANGE ROVER EVOQUE II,76750,2023,14124,Automatique,Hybrides,Non requis,Oui,5,5,11
PEUGEOT 3008 II phase 2,36140,2023,11,Automatique,Essence,Non requis,Non,5,5,7
OPEL GRANDLAND phase 2,35970,2023,14647,Manuelle,Essence,Non requis,Oui,5,5,7
CITROEN C3 AIRCROSS,27480,2022,57436,Manuelle,Essence,Non requis,Non,5,5,6
AUDI A4 V AVANT phase 3,48860,2023,17870,Automatique,Essence,Non requis,Oui,5,5,8
VOLVO V60 phase 2,24760,2019,97940,Automatique,Diesel,Requis,Oui,5,5,8
DACIA SANDERO II STEPWAY phase 2,15190,2020,35301,Manuelle,Essence,Non requis,Oui,5,5,5
CITROEN GRAND C4 SPACETOURER,31840,2022,35785,Automatique,Essence,Non requis,Non,5,7,7
PEUGEOT 3008 II,25350,2020,73278,Automatique,Essence,Non requis,Oui,5,5,7
,25350,2020,73278,Automatique,Essence,Non requis,Oui,5,5,7
BMW X1 F48,24580,2019,123622,Manuelle,Diesel,Non requis,Non,5,5,6
AUDI RS6 IV AVANT,133730,2021,76855,Automatique,Essence,Non requis,Oui,5,5,53
FIAT 500 II phase 2,16500,2021,46020,Manuelle,Essence,Non requis,Non,3,4,4
BMW X2 F39,29410,2019,94207,Automatique,Essence,Non requis,Non,5,5,11
RENAULT GRAND SCENIC IV,19860,2021,119240,Automatique,Essence,Non requis,Oui,5,7,7
,19860,2021,119240,Automatique,Essence,Non requis,Oui,5,7,7
CITROEN C4 III,31530,2024,1,Automatique,Essence,Non requis,Oui,5,5,7
SUZUKI VITARA IV phase 2,24730,2022,24008,Automatique,Essence,Non requis,Non,5,5,7
NISSAN QASHQAI III,41460,2023,9760,Manuelle,Essence,Non requis,Oui,5,5,7
VOLKSWAGEN PASSAT 8 SW,29970,2021,61860,Automatique,Diesel,Non requis,Oui,5,5,6
FORD FIESTA VI,16940,2021,1660,Manuelle,Essence,Non requis,Oui,5,5,4
TOYOTA YARIS III phase 3,16090,2019,62419,Automatique,Hybrides,Requis,Non,5,5,3
CITROEN C3 III phase 2,16370,2023,15255,Manuelle,Essence,Non requis,Non,5,5,4
AUDI Q2,39550,2020,78228,Automatique,Essence,Non requis,Oui,5,5,11
PEUGEOT 2008 II,23380,2021,54815,Manuelle,Essence,Non requis,Non,5,5,5
VOLKSWAGEN POLO VI,21060,2021,74071,Manuelle,Essence,Non requis,Non,5,5,5
RENAULT CLIO IV SOCIETE phase 2,7910,2019,92113,Manuelle,Diesel,Non requis,Oui,5,2,4
,7910,2019,92113,Manuelle,Diesel,Non requis,Oui,5,2,4
VOLKSWAGEN T-CROSS,25700,2020,62103,Manuelle,Essence,Non requis,Oui,5,5,6
AUDI A3 III SPORTBACK phase 2,24590,2020,78718,Automatique,Essence,Non requis,Oui,5,5,6
NISSAN JUKE II,23030,2021,47296,Automatique,Essence,Non requis,Oui,5,5,6
RENAULT TRAFIC III phase 2,26230,2022,98625,Manuelle,Diesel,Non requis,Non,4,3,7
PORSCHE 911 TYPE 991 TARGA phase 2,201990,2019,34720,Automatique,Essence,Requis,Non,2,4,30
,201990,2019,34720,Automatique,Essence,Requis,Non,2,4,30
SKODA KODIAQ,29570,2021,103350,Automatique,Diesel,Non requis,Oui,5,7,8
CITROEN JUMPY III FOURGON,26430,2020,69030,Manuelle,Diesel,Non requis,Oui,4,6,5
VOLKSWAGEN CRAFTER II,27930,2020,178120,Manuelle,Diesel,Non requis,Oui,2,2,7
AUDI Q5 II,53340,2021,54520,Automatique,Diesel,Non requis,Oui,5,5,11
DACIA DUSTER 2,27760,2023,11,Automatique,Essence,Non requis,Non,5,5,8
VOLKSWAGEN T-ROC CABRIOLET,38830,2021,9689,Automatique,Essence,Non requis,Non,3,4,8
PORSCHE MACAN phase 2,110140,2021,43788,Automatique,Essence,Non requis,Non,5,5,33
PEUGEOT 3008 II,28360,2021,89137,Automatique,Diesel,Non requis,Oui,5,5,7
FIAT TIPO II SW phase 2,15060,2020,84229,Manuelle,Diesel,Non requis,Oui,5,5,5
PEUGEOT 3008 II,31010,2020,77607,Automatique,Diesel,Non requis,Non,5,5,6
BMW X4 G02,52520,2020,139389,Automatique,Diesel,Non requis,Oui,5,5,16
,52520,2020,139389,Automatique,Diesel,Non requis,Oui,5,5,16
HYUNDAI IONIQ V,52690,2022,24245,Automatique,Électrique,Non requis,Oui,5,5,4
SKODA OCTAVIA III COMBI RS phase 2,35360,2020,73194,Automatique,Essence,Non requis,Non,5,5,14
PORSCHE 911 TYPE 992,152140,2021,27195,Automatique,Essence,Non requis,Oui,2,4,27
PEUGEOT 5008 II,37600,2021,89024,Automatique,Diesel,Non requis,Non,5,7,6
BMW SERIE 5 G30,39920,2019,78650,Automatique,Hybrides,Non requis,Oui,4,5,8
,39920,2019,78650,Automatique,Hybrides,Non requis,Oui,4,5,8
NISSAN LEAF II,21450,2021,28250,Automatique,Électrique,Non requis,Non,5,5,4
FIAT TIPO 2 CROSS,23060,2023,11,Manuelle,Essence,Non requis,Non,5,5,5
VOLKSWAGEN POLO VI,25510,2022,6515,Automatique,Essence,Non requis,Non,5,5,5
OPEL MOKKA II,46780,2023,5526,Automatique,Électrique,Non requis,Oui,5,5,4
MERCEDES GLA II,62340,2023,2432,Automatique,Hybrides,Non requis,Non,5,5,8
CITROEN C4 III,27180,2022,8031,Automatique,Essence,Non requis,Oui,5,5,7
NISSAN LEAF 2,24360,2020,33178,Automatique,Électrique,Non requis,Oui,5,5,4
FORD KUGA 2,24530,2020,69043,Automatique,Diesel,Non requis,Non,5,5,6
OPEL CROSSLAND X,20860,2021,61555,Manuelle,Diesel,Non requis,Oui,5,5,5
SEAT IBIZA V,13730,2022,198450,Manuelle,Diesel,Non requis,Oui,5,2,5
SEAT IBIZA V,24560,2020,35682,Manuelle,Essence,Non requis,Oui,5,5,6
,24560,2020,35682,Manuelle,Essence,Non requis,Oui,5,5,6
FIAT TIPO 2,17950,2022,36837,Manuelle,Essence,Non requis,Non,5,5,5
NISSAN JUKE phase 2,19340,2019,78529,Automatique,Essence,Requis,Non,5,5,6
FIAT TALENTO II,44060,2019,62821,Manuelle,Diesel,Requis,Non,4,9,8
PEUGEOT PARTNER III FOURGON,19120,2020,96222,Manuelle,Diesel,Non requis,Non,5,2,5
VOLKSWAGEN T-ROC phase 2,45860,2024,12,Automatique,Essence,Non requis,Non,5,5,8
,45860,2024,12,Automatique,Essence,Non requis,Non,5,5,8
MERCEDES SPRINTER 3,42130,2019,98307,Manuelle,Diesel,Requis,Non,5,5,6
OPEL MOVANO 2,30870,2019,145080,Manuelle,Diesel,Requis,Non,2,3,8
CITROEN E-C4 III,29130,2023,5002,Automatique,Électrique,Non requis,Oui,5,5,4
FIAT 500 X phase 2,26210,2022,39382,Manuelle,Essence,Non requis,Oui,5,5,6
VOLVO XC90 II phase 2,68730,2022,33608,Automatique,Diesel,Non requis,Non,5,7,13
FORD KUGA III,50710,2022,20140,Automatique,Hybrides,Non requis,Non,5,5,8
RENAULT CAPTUR 2,27100,2024,12,Manuelle,Essence,Non requis,Non,5,5,5
FIAT 500 (3E GENERATION),19480,2024,12,Manuelle,Hybrides,Non requis,Non,3,5,4
MINI III CABRIOLET JCW phase 2,53980,2024,2676,Automatique,Essence,Non requis,Oui,2,4,13
AUDI A5 II CABRIOLET phase 2,56140,2022,12801,Automatique,Diesel,Non requis,Non,2,4,9
AUDI A3 IV SPORTBACK,41990,2023,40,Automatique,Hybrides,Non requis,Oui,5,5,8
,41990,2023,40,Automatique,Hybrides,Non requis,Oui,5,5,8
PORSCHE 911 TYPE 992,194130,2021,32301,Automatique,Essence,Non requis,Non,2,4,34
PEUGEOT 308 II phase 2,23160,2020,57923,Automatique,Essence,Non requis,Oui,5,5,6
JEEP GRAND CHEROKEE IV phase 3,109000,2020,42305,Automatique,Essence,Non requis,Non,5,5,70
RENAULT CLIO V,15700,2022,16479,Manuelle,Essence,Non requis,Oui,5,5,5
RENAULT MASTER III phase 2,40220,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,8
,40220,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,8
CITROEN C3 (3E GENERATION),23620,2023,13,Manuelle,Diesel,Non requis,Oui,5,3,5
MAZDA MX5 IV ST,32830,2019,53068,Manuelle,Essence,Non requis,Oui,2,2,10
RENAULT ZOE phase 2,19980,2021,11750,Automatique,Électrique,Non requis,Non,5,5,4
HYUNDAI KONA phase 2,25900,2021,14040,Automatique,Électrique,Non requis,Oui,5,5,2
JAGUAR F-PACE,32010,2019,166600,Automatique,Diesel,Requis,Non,5,5,10
CITROEN C5 AIRCROSS,26760,2020,58867,Automatique,Essence,Non requis,Oui,5,5,10
PEUGEOT 3008 II phase 2,43490,2024,6215,Automatique,Diesel,Non requis,Non,5,5,7
VOLKSWAGEN GOLF VIII,25720,2022,52907,Manuelle,Essence,Non requis,Oui,5,5,6
SEAT LEON IV ST,31970,2021,48098,Manuelle,Essence,Non requis,Non,5,5,8
PEUGEOT E-208 II,36360,2024,1070,Automatique,Électrique,Non requis,Oui,4,5,4
CITROEN C5 AIRCROSS phase 2,37100,2023,6,Manuelle,Diesel,Non requis,Non,5,5,7
,37100,2023,6,Manuelle,Diesel,Non requis,Non,5,5,7
RENAULT CLIO V,12730,2021,73285,Manuelle,Diesel,Non requis,Oui,5,5,4
MINI III 3P,20880,2019,27946,Manuelle,Essence,Requis,Non,3,4,5
DS DS 4 (2E GENERATION),52860,2023,3567,Automatique,Hybrides,Non requis,Non,5,4,10
RENAULT TRAFIC III phase 2,38700,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,7
PORSCHE 911 TYPE 992,182590,2021,30975,Automatique,Essence,Non requis,Non,2,4,34
,182590,2021,30975,Automatique,Essence,Non requis,Non,2,4,34
DACIA SANDERO II STEPWAY phase 2,14870,2019,40829,Manuelle,Diesel,Non requis,Oui,5,5,4
PEUGEOT 3008 II,33580,2020,23686,Automatique,Essence,Non requis,Non,5,5,10
OPEL MOKKA II,30440,2023,794,Manuelle,Essence,Non requis,Oui,5,5,7
AUDI A4 V AVANT phase 2,30530,2020,90781,Automatique,Diesel,Non requis,Oui,5,5,7
RENAULT MEGANE IV,15540,2021,100666,Manuelle,Diesel,Non requis,Non,5,5,6
PEUGEOT 3008 II phase 2,43940,2023,33766,Automatique,Diesel,Non requis,Oui,5,5,7
PORSCHE CAYENNE III COUPE,108180,2022,83522,Automatique,Hybrides,Non requis,Non,5,5,22
ASTON MARTIN DBX,218480,2021,30015,Automatique,Essence,Non requis,Oui,5,5,48
AUDI A5 SPORTBACK II,32140,2019,60155,Automatique,Essence,Requis,Non,5,4,8
AUDI Q7 II,79000,2019,53001,Automatique,Diesel,Requis,Non,5,7,18
CITROEN C5 X,40410,2024,11,Automatique,Hybrides,Non requis,Non,5,5,10
,40410,2024,11,Automatique,Hybrides,Non requis,Non,5,5,10
AUDI Q2 phase 2,43600,2023,21078,Automatique,Essence,Non requis,Oui,5,5,8
PORSCHE 911 TYPE 992 CABRIOLET,223830,2021,23353,Automatique,Essence,Non requis,Oui,2,4,34
PEUGEOT 2008 phase 2,14150,2020,63903,Manuelle,Essence,Non requis,Non,5,5,4
AUDI A1 II SPORTBACK,21980,2020,84566,Manuelle,Essence,Non requis,Non,5,5,5
CITROEN GRAND C4 SPACETOURER,27270,2022,43247,Manuelle,Diesel,Non requis,Non,5,7,7
,27270,2022,43247,Manuelle,Diesel,Non requis,Non,5,7,7
SEAT LEON IV ST,36520,2022,34925,Automatique,Hybrides,Non requis,Non,5,2,8
VOLKSWAGEN TRANSPORTER,32170,2020,128466,Manuelle,Diesel,Non requis,Oui,4,3,7
MINI MINI III 3P,17480,2019,83933,Manuelle,Diesel,Requis,Oui,3,4,5
RENAULT CAPTUR II,33580,2022,27118,Automatique,Hybrides,Non requis,Non,5,5,5
BMW X3 F25 phase 2,33610,2019,145140,Automatique,Diesel,Requis,Non,5,5,10
CITROEN C3 III,15880,2020,47076,Manuelle,Essence,Non requis,Non,5,5,4
PORSCHE 911 TYPE 992 CABRIOLET,237680,2021,23896,Automatique,Essence,Non requis,Non,2,4,34
LAND ROVER RANGE ROVER SPORT II phase 2,70830,2021,92235,Automatique,Hybrides,Non requis,Oui,5,5,17
PEUGEOT 208 II,21580,2020,24011,Automatique,Essence,Non requis,Non,5,5,5
RENAULT CLIO IV phase 2,14300,2020,69210,Manuelle,Essence,Non requis,Oui,5,5,5
AUDI RS5 II,86890,2019,10170,Automatique,Essence,Non requis,Oui,2,4,34
,86890,2019,10170,Automatique,Essence,Non requis,Oui,2,4,34
RENAULT EXPRESS II VAN,26430,2022,246,Manuelle,Diesel,Non requis,Non,5,2,5
BMW X1 F48 phase 2,35030,2020,64944,Automatique,Essence,Non requis,Non,5,5,7
CITROEN BERLINGO III MULTISPACE,34140,2021,48649,Automatique,Essence,Non requis,Non,5,5,7
AUDI A4 (5E GENERATION) AVANT,44260,2020,50400,Automatique,Diesel,Non requis,Oui,5,5,10
MAZDA MX5 IV ST,30060,2022,33175,Manuelle,Essence,Non requis,Oui,2,2,7
,30060,2022,33175,Manuelle,Essence,Non requis,Oui,2,2,7
OPEL MOKKA II,32380,2023,12,Manuelle,Essence,Non requis,Non,5,5,7
RENAULT CLIO IV phase 2,14500,2019,14439,Manuelle,Essence,Non requis,Oui,5,5,5
BMW X1 F48,23140,2020,153517,Manuelle,Diesel,Non requis,Oui,5,5,6
AUDI A4 (5E GENERATION) AVANT,35650,2020,91186,Automatique,Diesel,Non requis,Oui,5,5,10
BMW SERIE 5 G31 TOURING,41110,2020,62488,Automatique,Diesel,Non requis,Oui,5,5,10
RENAULT ARKANA,38000,2022,6918,Automatique,Hybrides,Non requis,Non,5,5,7
PEUGEOT 108,14030,2021,24198,Manuelle,Essence,Non requis,Oui,5,4,3
VOLKSWAGEN GOLF 7,23780,2020,85565,Automatique,Diesel,Non requis,Oui,5,5,6
TOYOTA C-HR phase 2,28490,2021,64578,Automatique,Hybrides,Non requis,Non,5,5,7
RENAULT KADJAR phase 2,19860,2022,29479,Manuelle,Essence,Non requis,Non,5,5,7
BMW SERIE 5 G31 TOURING,30210,2019,105195,Automatique,Diesel,Requis,Oui,5,5,10
,30210,2019,105195,Automatique,Diesel,Requis,Oui,5,5,10
SMART FORTWO III CABRIO,20860,2019,44622,Automatique,Essence,Non requis,Oui,3,2,5
KIA NIRO II,53860,2024,15588,Automatique,Électrique,Non requis,Non,5,5,4
AUDI Q3 II SPORTBACK,47980,2021,75234,Automatique,Diesel,Non requis,Oui,5,5,8
AUDI E-TRON,65390,2021,48502,Automatique,Électrique,Non requis,Non,5,5,12
CITROEN C5 AIRCROSS,22660,2020,118058,Automatique,Diesel,Non requis,Oui,5,5,6
,22660,2020,118058,Automatique,Diesel,Non requis,Oui,5,5,6
SEAT ARONA,24130,2021,30535,Automatique,Diesel,Non requis,Non,5,5,6
PEUGEOT 208 phase 2,15050,2019,72958,Manuelle,Essence,Requis,Non,3,5,4
FORD FOCUS IV ACTIVE,19260,2020,60220,Manuelle,Essence,Non requis,Non,5,5,6
CITROEN C5 AIRCROSS,34700,2021,31412,Automatique,Hybrides,Non requis,Oui,5,5,10
PORSCHE CAYENNE III,169480,2021,39324,Automatique,Hybrides,Non requis,Non,5,5,46
PEUGEOT 3008 (2E GENERATION),43040,2023,24871,Automatique,Diesel,Non requis,Non,5,5,7
PEUGEOT 2008 II,27360,2023,12159,Manuelle,Essence,Non requis,Oui,5,5,5
CITROEN C3 AIRCROSS,19340,2021,71297,Manuelle,Diesel,Non requis,Non,5,5,5
FORD KUGA II phase 2,30780,2020,99484,Automatique,Bicarburation essence bioéthanol,Non requis,Non,5,5,9
TOYOTA C-HR phase 2,35010,2023,5532,Automatique,Hybrides,Non requis,Oui,5,5,5
NISSAN QASHQAI III,36240,2023,21293,Automatique,Essence,Non requis,Oui,5,5,8
,36240,2023,21293,Automatique,Essence,Non requis,Oui,5,5,8
OPEL CORSA VI,18270,2022,28327,Manuelle,Essence,Non requis,Non,5,5,5
PEUGEOT 5008 II,29240,2020,66981,Automatique,Essence,Non requis,Oui,5,7,7
OPEL GRANDLAND X,25280,2020,59384,Automatique,Essence,Non requis,Non,5,5,7
BMW SERIE 2 U06 ACTIVE TOURER,37780,2023,21252,Automatique,Essence,Non requis,Oui,5,5,7
FIAT TIPO II,15940,2021,49539,Manuelle,Essence,Non requis,Non,5,5,5
,15940,2021,49539,Manuelle,Essence,Non requis,Non,5,5,5
VOLKSWAGEN GOLF VII SW phase 2,28230,2021,69819,Automatique,Diesel,Non requis,Non,5,5,8
RENAULT CLIO V,17980,2020,57499,Manuelle,Essence,Non requis,Oui,5,5,5
PEUGEOT 3008 II,55950,2021,5084,Automatique,Hybrides,Non requis,Oui,5,5,9
JEEP COMPASS II,23540,2019,79485,Manuelle,Diesel,Requis,Non,5,5,6
VOLKSWAGEN GOLF VII SW phase 2,21640,2019,100804,Automatique,Essence,Requis,Non,5,5,7
CITROEN C3 III phase 2,19820,2022,42071,Manuelle,Essence,Non requis,Non,5,5,4
MINI III 3P,29000,2020,49280,Automatique,Essence,Non requis,Non,3,4,10
PEUGEOT 208 II,23080,2024,11,Manuelle,Essence,Non requis,Non,5,5,5
DS 3 CROSSBACK,32040,2022,56906,Automatique,Diesel,Non requis,Non,5,5,7
ALPINE A110 II,75790,2020,27500,Automatique,Essence,Non requis,Non,2,2,15
BMW X1 U11,67580,2024,3968,Automatique,Essence,Non requis,Oui,4,5,8
,67580,2024,3968,Automatique,Essence,Non requis,Oui,4,5,8
CITROEN C4 SPACETOURER,17110,2020,113962,Automatique,Diesel,Non requis,Oui,5,5,6
PEUGEOT 508 II SW,26230,2020,72250,Automatique,Diesel,Non requis,Oui,5,5,6
MAZDA MX5 IV ST,27110,2019,37010,Manuelle,Essence,Requis,Non,2,2,7
CITROEN BERLINGO III,15580,2020,174157,Manuelle,Diesel,Non requis,Oui,5,2,5
DACIA DUSTER II phase 2,29840,2024,11,Manuelle,Diesel,Non requis,Non,5,5,6
,29840,2024,11,Manuelle,Diesel,Non requis,Non,5,5,6
FIAT TIPO 2,20300,2022,18890,Manuelle,Essence,Non requis,Non,5,5,5
AUDI Q3 II SPORTBACK,46530,2021,52100,Automatique,Diesel,Non requis,Oui,5,5,10
RENAULT KADJAR phase 2,25940,2021,38940,Automatique,Essence,Non requis,Oui,5,5,7
HYUNDAI KONA,25050,2020,111181,Automatique,Électrique,Non requis,Non,5,5,1
OPEL ASTRA VI,35000,2023,7962,Automatique,Diesel,Non requis,Non,5,5,7
RENAULT CLIO V,16320,2022,18330,Manuelle,Essence,Non requis,Oui,5,5,4
AUDI Q3 II,39580,2020,49205,Automatique,Diesel,Non requis,Non,5,5,8
FIAT 500 X phase 2,15420,2020,80343,Manuelle,Essence,Non requis,Non,5,5,6
RENAULT KANGOO III EXPRESS,23080,2022,8636,Automatique,Électrique,Non requis,Oui,4,2,7
RENAULT CAPTUR II,26550,2021,43579,Automatique,Diesel,Non requis,Oui,5,5,6
OPEL VIVARO III,49830,2024,1120,Automatique,Électrique,Non requis,Non,4,5,9
,49830,2024,1120,Automatique,Électrique,Non requis,Non,4,5,9
PEUGEOT 3008 II phase 2,35560,2022,23702,Manuelle,Essence,Non requis,Oui,5,5,7
FORD FIESTA VI,13140,2021,60931,Manuelle,Essence,Non requis,Oui,5,5,4
CITROEN GRAND C4 SPACETOURER,23780,2020,83426,Automatique,Essence,Non requis,Non,5,7,7
JEEP CHEROKEE IV phase 2,40570,2019,77775,Automatique,Diesel,Requis,Non,5,5,11
BMW SERIE 2,35070,2022,25571,Automatique,Diesel,Non requis,Oui,5,5,6
,35070,2022,25571,Automatique,Diesel,Non requis,Oui,5,5,6
AUDI Q5 II phase 2,63760,2024,11624,Automatique,Diesel,Non requis,Oui,5,5,9
AUDI A1 II SPORTBACK,32620,2023,12516,Automatique,Essence,Non requis,Oui,5,5,6
MAZDA MX5 IV ST,28800,2022,40284,Manuelle,Essence,Non requis,Oui,2,2,7
CITROEN C3 AIRCROSS phase 2,19930,2022,59134,Automatique,Diesel,Non requis,Non,5,5,6
VOLKSWAGEN T-CROSS,22880,2020,102664,Automatique,Diesel,Non requis,Oui,5,5,5
VOLKSWAGEN T-ROC phase 2,43250,2024,116,Automatique,Essence,Non requis,Non,5,5,8
PORSCHE 718 CAYMAN,90470,2019,21800,Automatique,Essence,Requis,Non,3,2,26
CITROEN C1 II,13360,2021,47616,Manuelle,Essence,Non requis,Non,5,4,4
AUDI A1 (2E GENERATION) SPORTBACK,22660,2020,71838,Manuelle,Essence,Non requis,Non,5,4,5
MERCEDES GLA phase 2,27450,2020,68085,Automatique,Diesel,Non requis,Oui,5,5,7
BMW SERIE 5 G31 TOURING,39310,2020,96672,Automatique,Diesel,Non requis,Oui,5,5,10
,39310,2020,96672,Automatique,Diesel,Non requis,Oui,5,5,10
DACIA DUSTER 2,18820,2023,12433,Manuelle,Essence,Non requis,Non,5,5,5
PORSCHE CAYENNE III COUPE,99430,2020,58444,Automatique,Essence,Non requis,Non,5,5,23
CITROEN C5 AIRCROSS phase 2,43270,2023,7826,Automatique,Hybrides,Non requis,Non,5,5,10
BMW X2 F39,26750,2019,154688,Automatique,Diesel,Requis,Oui,5,5,8
SKODA KODIAQ phase 2,46710,2024,16,Automatique,Essence,Non requis,Non,5,7,8
,46710,2024,16,Automatique,Essence,Non requis,Non,5,7,8
VOLKSWAGEN GOLF VIII,30100,2022,66809,Manuelle,Essence,Non requis,Oui,5,5,7
AUDI SQ5 II,59480,2019,40008,Automatique,Essence,Non requis,Oui,5,5,24
FORD KUGA III,41780,2024,26071,Automatique,Hybrides,Non requis,Oui,5,5,8
ALFA ROMEO GIULIA II,40780,2020,26214,Automatique,Diesel,Non requis,Non,4,5,10
DACIA DUSTER II,22300,2021,46500,Manuelle,Diesel,Non requis,Non,5,5,6
AUDI A3 IV SPORTBACK,41400,2022,31396,Automatique,Hybrides,Non requis,Oui,5,5,8
VOLKSWAGEN GOLF VII SW phase 2,28060,2022,60309,Automatique,Diesel,Non requis,Non,5,5,8
FIAT 500 III,31330,2024,114,Automatique,Électrique,Non requis,Non,3,4,3
PEUGEOT 208 II,25390,2024,5372,Manuelle,Essence,Non requis,Oui,4,5,5
SKODA OCTAVIA IV COMBI RS,45880,2023,25964,Automatique,Diesel,Non requis,Oui,5,5,11
MINI III 3P phase 2,31840,2022,17346,Automatique,Électrique,Non requis,Oui,5,4,3
,31840,2022,17346,Automatique,Électrique,Non requis,Oui,5,4,3
RENAULT CLIO 5,22220,2024,11,Manuelle,Essence,Non requis,Non,5,4,5
DS 3 CROSSBACK,26980,2020,28356,Manuelle,Essence,Non requis,Non,5,5,5
PEUGEOT 5008 II phase 2,46720,2024,2460,Automatique,Diesel,Non requis,Non,5,7,7
LEXUS UX,30410,2020,56791,Automatique,Hybrides,Non requis,Non,5,7,7
MINI COUNTRYMAN II,30560,2019,65431,Manuelle,Essence,Requis,Oui,5,5,11
,30560,2019,65431,Manuelle,Essence,Requis,Oui,5,5,11
RENAULT CLIO IV phase 2,16860,2019,53911,Manuelle,Diesel,Requis,Oui,5,5,4
VOLKSWAGEN GOLF VIII,26090,2023,32946,Manuelle,Essence,Non requis,Non,5,5,6
PEUGEOT 308 III,33890,2024,1,Automatique,Essence,Non requis,Oui,5,5,7
PEUGEOT 208 II,25860,2022,26680,Automatique,Essence,Non requis,Oui,5,5,5
RENAULT SCENIC IV,18360,2021,105834,Manuelle,Diesel,Non requis,Oui,5,5,6
KIA E-NIRO phase 2,34960,2021,22386,Automatique,Électrique,Non requis,Oui,5,5,1
AUDI E-TRON,70510,2022,9367,Automatique,Électrique,Non requis,Oui,5,5,12
CITROEN JUMPY III FOURGON,27220,2020,41493,Manuelle,Diesel,Non requis,Non,4,3,7
MERCEDES GLC COUPE,49580,2019,138544,Automatique,Diesel,Requis,Non,5,5,11
RENAULT CAPTUR phase 2,14020,2020,82136,Manuelle,Diesel,Non requis,Oui,5,5,5
SKODA KAROQ phase 2,32730,2022,56217,Automatique,Essence,Non requis,Non,5,5,8
,32730,2022,56217,Automatique,Essence,Non requis,Non,5,5,8
FIAT 500 (3E GENERATION),19910,2023,11,Manuelle,Hybrides,Non requis,Non,3,5,4
PORSCHE 911 TYPE 992,178390,2021,2730,Automatique,Essence,Non requis,Oui,2,4,34
AUDI SQ5 (2E GENERATION),76210,2020,86764,Automatique,Diesel,Non requis,Non,5,4,23
RENAULT MASTER III phase 2,36410,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,8
RENAULT CLIO 4,14520,2020,70166,Manuelle,Essence,Non requis,Non,5,3,5
,14520,2020,70166,Manuelle,Essence,Non requis,Non,5,3,5
TOYOTA AURIS II phase 2,21980,2020,66307,Automatique,Hybrides,Non requis,Non,5,5,5
VOLKSWAGEN ID.5,44050,2023,6780,Automatique,Électrique,Non requis,Oui,5,5,5
DACIA DUSTER II phase 2,31840,2024,12,Manuelle,Diesel,Non requis,Non,5,5,6
VOLKSWAGEN TAIGO,33300,2023,12495,Automatique,Essence,Non requis,Oui,5,5,6
RENAULT CAPTUR II,22020,2022,16719,Manuelle,Essence,Non requis,Oui,5,5,5
PEUGEOT 208 (2E GENERATION),19870,2023,1613,Manuelle,Essence,Non requis,Oui,5,5,4
TOYOTA PROACE CITY VERSO phase 2,37030,2024,11,Automatique,Diesel,Non requis,Non,5,5,7
MERCEDES GLE COUPE II,116970,2024,11,Automatique,Diesel,Non requis,Non,5,5,11
PEUGEOT 3008 (2E GENERATION),39870,2023,11,Automatique,Essence,Non requis,Non,5,5,7
BMW SERIE 3 G20,40260,2021,105989,Automatique,Essence,Non requis,Oui,4,5,15
PORSCHE TAYCAN,105910,2022,46561,Automatique,Électrique,Non requis,Oui,4,5,9
,105910,2022,46561,Automatique,Électrique,Non requis,Oui,4,5,9
FIAT 500 II phase 2,15320,2022,64609,Manuelle,Essence,Non requis,Non,3,4,4
FORD FOCUS IV,15790,2021,53151,Manuelle,Essence,Non requis,Oui,5,5,5
VOLVO V60 phase 2,24550,2019,77220,Automatique,Diesel,Requis,Oui,5,5,8
AUDI Q3 II,49920,2022,64679,Automatique,Hybrides,Non requis,Oui,5,5,8
RENAULT CLIO V,17230,2021,53278,Manuelle,Diesel,Non requis,Non,5,5,4
,17230,2021,53278,Manuelle,Diesel,Non requis,Non,5,5,4
SEAT ARONA phase 2,21830,2023,9494,Manuelle,Essence,Non requis,Non,5,5,5
VOLKSWAGEN PASSAT VIII SW phase 2,40560,2023,17343,Automatique,Diesel,Non requis,Oui,5,5,8
NISSAN QASHQAI 2,23100,2021,53487,Automatique,Diesel,Non requis,Non,5,5,6
BMW SERIE 2 F46 GRAN TOURER phase 2,28060,2020,26995,Manuelle,Essence,Non requis,Non,5,7,6
RENAULT CAPTUR II,26850,2023,11,Manuelle,Essence,Non requis,Non,5,5,7
VOLKSWAGEN ID.3,41770,2024,3300,Automatique,Électrique,Non requis,Oui,4,5,5
